word_count,weak_pool_size,prefix_length,allow_repeats,entropy_bits,time cost str,time cost,security level
12,32,3,True,45.0,58.64 minutes,3518.4372088832,Too Weak
12,32,3,False,45.0,16.96 minutes,1017.8348544,Too Weak
12,32,4,True,40.0,1.83 minutes,109.9511627776,Too Weak
12,32,4,False,40.0,42.41 seconds,42.4097856,Too Weak
12,32,5,True,35.0,3.44 seconds,3.4359738368,Too Weak
12,32,5,False,35.0,1.70 seconds,1.696391424,Too Weak
12,32,6,True,30.0,0.11 seconds,0.1073741824,Too Weak
12,32,6,False,30.0,0.07 seconds,0.065245824,Too Weak
12,64,3,True,54.0,20.85 days,1801439.8509481985,Too Weak
12,64,3,False,54.0,11.57 days,999392.730771456,Too Weak
12,64,4,True,48.0,7.82 hours,28147.4976710656,Too Weak
12,64,4,False,48.0,4.96 hours,17846.298763776,Too Weak
12,64,5,True,42.0,7.33 minutes,439.8046511104,Too Weak
12,64,5,False,42.0,5.22 minutes,313.092960768,Too Weak
12,64,6,True,36.0,6.87 seconds,6.8719476736,Too Weak
12,64,6,False,36.0,5.40 seconds,5.398154496,Too Weak
12,128,3,True,63.0,29.25 years,922337203.6854776,Medium
12,128,3,False,63.0,21.94 years,691747331.337216,Medium
12,128,4,True,56.0,2.78 months,7205759.403792794,Weak
12,128,4,False,56.0,2.22 months,5764561.0944768,Weak
12,128,5,True,49.0,15.64 hours,56294.9953421312,Too Weak
12,128,5,False,49.0,13.23 hours,47641.0007808,Too Weak
12,128,6,True,42.0,7.33 minutes,439.8046511104,Too Weak
12,128,6,False,42.0,6.51 minutes,390.5000064,Too Weak
24,32,3,True,105.0,128630197892260.72 years,4.056481920730334e+21,Strong
24,32,3,False,105.0,20903038579.45 years,6.591982246414881e+17,Strong
24,32,4,True,100.0,4019693684133.15 years,1.2676506002282294e+20,Strong
24,32,4,False,100.0,1741919881.62 years,5.493318538679068e+16,Strong
24,32,5,True,95.0,125615427629.16 years,3.961408125713217e+18,Strong
24,32,5,False,95.0,133993837.05 years,4225629645137744.5,Strong
24,32,6,True,90.0,3925482113.41 years,1.2379400392853803e+17,Strong
24,32,6,False,90.0,9570988.36 years,301830688938410.3,Strong
24,64,3,True,126.0,269757076770150350848.00 years,8.507059173023462e+27,Strong
24,64,3,False,126.0,6659837301133384704.00 years,2.100246291285424e+26,Strong
24,64,4,True,120.0,4214954324533599232.00 years,1.329227995784916e+26,Strong
24,64,4,False,120.0,151359938662122368.00 years,4.773287025648691e+24,Strong
24,64,5,True,114.0,65858661320837488.00 years,2.076918743413931e+24,Strong
24,64,5,False,114.0,3363554192491608.50 years,1.0607304501441536e+23,Strong
24,64,6,True,108.0,1029041583138085.75 years,3.2451855365842674e+22,Strong
24,64,6,False,108.0,73120743315034.97 years,2.3059357611829426e+21,Strong
24,128,3,True,147.0,565721593062674348581584896.00 years,1.78405961588245e+34,Strong
24,128,3,False,147.0,99696240213019659996233728.00 years,3.144020631357788e+33,Strong
24,128,4,True,140.0,4419699945802143348293632.00 years,1.393796574908164e+32,Strong
24,128,4,False,140.0,923113335305737552789504.00 years,2.911130214220174e+31,Strong
24,128,5,True,133.0,34528905826579244908544.00 years,1.0889035741470031e+30,Strong
24,128,5,False,133.0,8468929681704014053376.00 years,2.670761664422178e+29,Strong
24,128,6,True,126.0,269757076770150350848.00 years,8.507059173023462e+27,Strong
24,128,6,False,126.0,76990269833672867840.00 years,2.4279651494747075e+27,Strong
